argument,score
Cosmetic surgery for minors can be important if the minor feels depressed and insecure due to a physical impairment and is grown up enough to make that decision.,0.566369234
Cosmetic surgery for minors only reinforces the idea that image is everything in society from a dangerously early age.,0.886887462
"Cosmetic surgery for minors should be banned, minors can decide on their appearance, which they later regret.",0.727539125
Cosmetic surgery for minors should be banned because they are not mature enough to make an informed decision that is valid for life.,0.957507102
Cosmetic surgery for minors should be banned because it can give children the wrong idea and make them believe that they need it in order to be beautiful.,0.786570413
"Cosmetic surgery for minors should be banned, because the risk involved outweighs any possible benefits.",0.602752022
Cosmetic surgery for minors should be banned because they are not yet mature enough to make a sensible decision in favour of this procedure.,0.984882777
"Cosmetic surgery for minors should be banned because they are too young to make an informed, life-long decision.",0.999068842
Cosmetic surgery for minors should be banned because they need to learn to appreciate their own appearance rather than adapt to society.,0.959720185
"Cosmetic surgery for minors should be banned; a young person may not understand what is best for him and may make a bad, permanent decision.",0.998613192
"Cosmetic surgery for minors should be banned. It is dangerous for their developing body, which cannot withstand all the chemicals involved in the operation.",0.997136397
"Cosmetic surgery for minors should not be banned, as their right to autonomy still exists when it is applied by their parents (or another legal guardian).",0.666911637
Plastic surgery for minors only results in the child being operated on to meet an impossible standard of appearance and beauty.,0.980607769
Cosmetic surgery for minors would be good for minors if it affected their health.,0.422820648
Cosmetic surgery on minors would lead to many health problems.,0.725749838
Cosmetic surgery for vanity is unnecessary for minors because their bodies are still developing.,0.877998593
Cosmetic surgery for minors is especially necessary for those who have suffered from a devastating accident that has deformed their bodies,0.732698147
Cosmetic surgery gives people a false sense of well-being,0.037074026
Cosmetic surgery gives you the assurance that you have been physically lacking,0.112303682
Cosmetic surgery significantly increases many people's self-esteem and should therefore be left alone.,0.992482197
Cosmetic surgery has been a saving grace for people who have suffered serious injuries and need reconstructive plastic surgery.,0.8338676
It is well known that plastic surgery leads to death as a result of botched work and should be banned so that these deaths do not occur.,0.987477148
"Cosmetic surgery has proven to be addictive, and not only that, all surgeries involve risks, so they should be approached with caution.",0.851025355
Cosmetic surgery has proven to be extremely useful for those who have suffered burns and for those who have just lived a lifestyle. There is no reason to prohibit it.,0.552070526
"Plastic surgery caused low self-esteem in the average woman, who cannot afford to stop ageing.",0.254641374
Cosmetic surgery has helped many children who have deformities and other illnesses,0.99933714
Cosmetic surgery has helped many people with birth defects.,0.937365552
Cosmetic surgery has helped people who have been the victims of terrible attacks to repair their bodies and heal their minds.,0.948212316
"For many, plastic surgery carries the risk of infection and should therefore be avoided.",0.018792785
Plastic surgery has no harm for third parties and people have the right to do what they want to their body and their appearance.,0.99334165
Plastic surgery has too many things that can go wrong,0.24264358
"Cosmetic surgery carries too much risk of something going wrong, compared to the advantage of looking more aesthetically pleasing.",0.999941927
Cosmetic surgery helps build self-esteem,0.425776982
Cosmetic surgery helps to heal burns and accident victims and to look more normal.,0.905029558
Cosmetic surgery helps burn victims regain a normal appearance.,0.929149155
Cosmetic surgery helps to correct facial defects in children and give them the chance of a normal life.,0.90416552
Cosmetic surgery helps many people with their self-esteem.,0.871352092
"Cosmetic surgery helps patients who have been burned by fire, etc.",0.295569765
"Cosmetic surgery helps people to feel better about their appearance, which can help them make positive changes in other areas of their lives.",0.981333609
Cosmetic surgery helps people to feel better about themselves. It is also important for people who survive an accident or were born with imperfection.,0.896855795
Cosmetic surgery helps people to feel better.,0.861209981
Cosmetic surgery helps people who are not satisfied with their bodies. It can also help burn victims.,0.694331387
Cosmetic surgery helps to reconstruct the physical aspect of a person who has had a mastectomy and wishes to have surgery to restore their breasts.,0.9405397
Cosmetic surgery helps with birth defects.,0.57186852
"Cosmetic surgery impresses minors that their only value is their appearance, which exacerbates depression and eating disorders.",0.954909372
Cosmetic surgery in minors is often used to correct physical defects that have nothing to do with attractiveness and more to do with the feeling of not being abnormal.,0.969256136
Plastic surgery in teenagers does not boost self-esteem and self-confidence.,0.579706314
Plastic surgeries increase the pool of surgeons who can perform reconstructive operations for accident victims and cancer patients,0.966053276
Plastic surgery boosts women's self-esteem and makes them more confident,0.825804012
"Plastic surgery is putting people's lives at risk, so we really should ban it",0.920689611
Cosmetic surgery is beneficial for many - from those who have had an accident to those who need a boost in their self-esteem.,0.365128233
